text,language
"Memories drift like silent clouds.",English
"Aeg sosistab saladusi.",Estonian
"Glömda minnen vilar.",Swedish
"Призраки прошлого танцуют.",Russian
"Umbrele timpului.",Romanian
"نسیم خاطرات.",Persian
"د زمان کیسی.",Pushto
"Ecos olvidados.",Spanish
"पुरानी धुन।",Hindi
"침묵의 여운.",Korean
"岁月无声。",Chinese
"Secrets anciens.",French
"Memórias perdidas.",Portuguese
"Bayangan waktu.",Indonesian
"زمانے کی آواز۔",Urdu
"Umbrae temporis.",Latin
"Sessiz anlar.",Turkish
"静かな記憶。",Japanese
"Vergeten geluiden.",Dutch
"மௌன நினைவுகள்.",Tamil
"เสียงกระซิบ.",Thai
"رحلة الذاكرة.",Arabic
"Silent stones remember.",English
"Vaikuse lugu.",Estonian
"Gamla minnen.",Swedish
"Тихие тени.",Russian
"Ecouri uitate.",Romanian
"راز کهن.",Persian
"د تاریخ نغمه.",Pushto
"Sueños antiguos.",Spanish
"पुरानी धारा।",Hindi
"깊은 기억.",Korean
"时光静默。",Chinese
"Murmures passés.",French
"Segredos antigos.",Portuguese
"Kenangan tersembunyi.",Indonesian
"خاموش رازیں۔",Urdu
"Tacita memoria.",Latin
"Unutulan anlar.",Turkish
"静かな物語。",Japanese
"Vergeten paden.",Dutch
"மௌன கதைகள்.",Tamil
"เงาความทรงจำ.",Thai
"صمت الزمن.",Arabic
"Whispers of forgotten dreams.",English
"Ajaloo varjud.",Estonian
"Gamla minnen.",Swedish
"Тихие echoes.",Russian
"Umbre vechi.",Romanian
"نسیم زمان.",Persian
"د یادونو سندره.",Pushto
"Ecos silentes.",Spanish
"पुरानी छाया।",Hindi
"잊혀진 순간.",Korean
"时光流逝。",Chinese
"Secrets oubliés.",French
"Memórias sutis.",Portuguese
"Bayangan waktu.",Indonesian
"خاموش لمحے۔",Urdu
"Vestigia temporis.",Latin
"Unutulan anlar.",Turkish
"微かな記憶。",Japanese
"Vergeten geluiden.",Dutch
"மௌன தடங்கள்.",Tamil
"เสียงแห่งอดีต.",Thai
"نسمة الذاكرة.",Arabic

"Silent echoes linger.",English
"Vaikuse käed.",Estonian
"Glömda minnen.",Swedish
"Тени прошлого.",Russian
"Ecouri tăcute.",Romanian
"راز کهکشان.",Persian
"د زمان پلونه.",Pushto
"Sombras antiguas.",Spanish
"पुरानी गूंज।",Hindi
"깊은 침묵.",Korean
"岁月无声。",Chinese
"Murmures silents.",French
"Segredos sutis.",Portuguese
"Kenangan tersembunyi.",Indonesian
"خاموش آوازیں۔",Urdu
"Memoria tacita.",Latin
"Sessiz anılar.",Turkish
"古い夢。",Japanese
"Vergeten paden.",Dutch
"மௌன ஓசைகள்.",Tamil
"เงาความทรงจำ.",Thai
"صدى الزمن.",Arabic
"Forgotten whispers dance.",English
"Ajaloo lehed.",Estonian
"Gamla röster.",Swedish
"Тихие memories.",Russian
"Umbre tăcute.",Romanian
"نسیم خاطره.",Persian
"د یادونو سفر.",Pushto
"Ecos perdidos.",Spanish
"पुरानी धारा।",Hindi
"잊혀진 순간.",Korean
"时光痕迹。",Chinese
"Secrets murmurés.",French
"Memórias antigas.",Portuguese
"Bayangan kenangan.",Indonesian
"زمانے کی آواز۔",Urdu
"Vestigia silentii.",Latin
"Unutulan sesler.",Turkish
"静かな夢。",Japanese
"Vergeten ritmes.",Dutch
"மௌன வட்டம்.",Tamil
"เสียงแห่งเวลา.",Thai
"نسمة الزمن.",Arabic

"Silent memories breathe.",English
"Vaikuse laulud.",Estonian
"Glömda minnen.",Swedish
"Призраки времени.",Russian
"Ecouri vechi.",Romanian
"راز دوردست.",Persian
"د زمان کیسی.",Pushto
"Sombras olvidadas.",Spanish
"पुरानी गाथा।",Hindi
"깊은 기억.",Korean
"岁月无言。",Chinese
"Murmures anciens.",French
"Segredos sutis.",Portuguese
"Kenangan tersembunyi.",Indonesian
"خاموش رازیں۔",Urdu
"Memoria tacens.",Latin
"Sessiz anlar.",Turkish
"古い物語。",Japanese
"Vergeten paden.",Dutch
"மௌன கதைகள்.",Tamil
"เงาความทรงจำ.",Thai
"صدى الذاكرة.",Arabic
"The ancient library stood silent with shelves laden with centuries of accumulated knowledge and forgotten stories waiting to be rediscovered",English
"Metsän siimeksessä kulki vanha polku joka kiersi vanhojen honkien ja sammalisten kivien välitse kuin lumoutuneen muiston jälkinä",Estonian
"Norr om den gamla bron där skogen möter ängen vilar hemligheter som ingen ännu har vågat avslöja",Swedish
"В глубине старинного замка эхо рассказывало истории о forgotten heroes и древних тайнах которые никогда не были полностью раскрыты",Russian
"Noaptea când toți locuitorii dormeau un singur felinar mai licărea în întunericul strălucitor al unui mic orășel uitat de lume",Romanian
"در میان کوهستان های پر پیچ و خم رودخانه ای باریک و زلال از میان صخره ها و درختان کهن عبور می کرد",Persian
"د غرونو منځ کی یو کوچنی کلی پروت و چی د طبیعت په غیږ کی یی ژوند کاوه",Pushto
