text,language
"The ancient redwoods of California stand as silent guardians of time.",English
"Vana Tallinna vanalinn peidab endas keskaegset võlu ja salapära.",Estonian
"Den svenska vintern målar landskapet i vitt och skapar magiska ögonblick.",Swedish
"Байкал хранит в себе пятую часть мировых запасов пресной воды.",Russian
"Carpații României sunt un paradis pentru iubitorii naturii sălbatice.",Romanian
"شعر حافظ شیرازی گنجینه ای از حکمت و عرفان ایرانی است.",Persian
"د افغانستان غرونه د نړۍ د خورا ښکلو طبیعي منظرو څخه دي.",Pushto
"La Alhambra cuenta historias de mil y una noches en sus paredes.",Spanish
"हिमालय की बर्फीली चोटियां भारत की प्राकृतिक सीमा हैं।",Hindi
"한국의 고궁들은 조선시대의 찬란한 문화유산을 보여줍니다.",Korean
"长城是中国古代建筑智慧的见证，蜿蜒万里。",Chinese
"Les vignobles de Bordeaux produisent les meilleurs vins du monde.",French
"O Amazonas é o maior rio do mundo em volume de água.",Portuguese
"Pulau Komodo adalah rumah bagi kadal raksasa yang menakjubkan.",Indonesian
"کشمیر کی وادیاں قدرتی حسن کا بے مثال نمونہ ہیں۔",Urdu
"Historia est magistra vitae et testis temporum.",Latin
"Kapadokya'nın peri bacaları dünyanın en ilginç jeolojik oluşumlarıdır.",Turkish
"富士山は日本の象徴として世界中の人々を魅了し続けています。",Japanese
"De Nederlandse tulpenvelden kleuren het landschap in de lente.",Dutch
"மகாபலிபுரம் கடற்கரை கோவில்கள் தமிழர் கட்டிடக்கலையின் சிறப்பை காட்டுகின்றன.",Tamil
"วัดพระศรีรัตนศาสดารามเป็นสัญลักษณ์แห่งความศรัทธาของชาวไทย",Thai
"الأهرامات المصرية تشهد على عظمة الحضارة الفرعونية القديمة.",Arabic
"Quantum physics challenges our understanding of fundamental reality.",English
"Saaremaa saar on tuntud oma keskaegsete kivilinnade poolest.",Estonian
"Norrsken dansar över den svenska polarnattens himmel.",Swedish
"Российский балет известен своим непревзойденным мастерством.",Russian
"Delta Dunării găzduiește peste trei sute de specii de păsări.",Romanian
"تخت جمشید نشانگر شکوه معماری هخامنشیان است.",Persian
"د بامیان لرغونې سیمه د افغانستان د تاریخ یوه ارزښتناکه برخه ده.",Pushto
"El flamenco expresa la pasión y el dolor del alma andaluza.",Spanish
"भारतीय योग परंपरा विश्व को स्वस्थ जीवन का मार्ग दिखाती है।",Hindi
"제주도의 해녀 문화는 세계문화유산으로 등재되어 있습니다.",Korean
"故宫见证了中国数百年的王朝历史。",Chinese
"La Tour Eiffel illumine Paris chaque soir avec sa magie.",French
"O fado português conta histórias de saudade e amor.",Portuguese
"Candi Borobudur adalah bukti kejayaan arsitektur Buddha di Indonesia.",Indonesian
"لاہور کے تاریخی باغات مغل دور کی عظمت کی نشانی ہیں۔",Urdu
"Carpe diem, quam minimum credula postero.",Latin
"İstanbul Boğazı, iki kıtayı birleştiren eşsiz bir su yoludur.",Turkish
"京都の古寺は日本の伝統文化を今に伝えています。",Japanese
"Amsterdamse grachten vertellen verhalen uit de Gouden Eeuw.",Dutch
"சோழர் கால கோயில்கள் தமிழர்களின் கட்டிடக்கலை திறமையை வெளிப்படுத்துகின்றன.",Tamil
"อาหารไทยมีเอกลักษณ์ด้านรสชาติที่ผสมผสานกันอย่างลงตัว",Thai
"النخيل يزين صحراء الجزيرة العربية منذ آلاف السنين.",Arabic
"The Great Barrier Reef hosts countless marine species.",English
"Tallinna Raekoda on Põhja-Euroopa vanim säilinud raekoda.",Estonian
"Stockholms skärgård består av tusentals vackra öar.",Swedish
"Сибирская тайга является легкими планеты.",Russian
"Castelul Bran atrage turiști din toate colțurile lumii.",Romanian
"حافظیه در شیراز محل زیارت دوستداران شعر و ادب است.",Persian
"د کندهار انار په نړۍ کې د خپل کیفیت له امله مشهور دی.",Pushto
"La Sagrada Familia es una obra maestra del modernismo.",Spanish
"ताज महल प्रेम की एक अमर कहानी का प्रतीक है।",Hindi
"백두산은 한민족의 영산으로 알려져 있습니다.",Korean
"西湖十景是杭州最著名的景点组合。",Chinese
